JHWY	INTERSECTION	TYPE	LATITUDE	LONGITUDE
j7	GASSI	RPRT_PT 	40.571667	119.068333
j7	REO  	VORTAC  	42.590556	117.868167
j7	BOI  	VORTAC  	43.552806	116.192139
j7	LKT  	VOR     	45.021306	114.084250
j7	GTF  	VORTAC  	47.449972	111.412167
j8	EED  	VORTAC  	34.766000	114.474111
j8	CADDU	RPRT_PT 	34.978528	112.975333
j8	FLG  	VOR     	35.147222	111.674139
j8	GUP  	VORTAC  	35.476000	108.872611
j8	BUKKO	RPRT_PT 	35.529056	107.996500
j8	FLYBY	RPRT_PT 	35.601222	106.580000
j8	LVS  	VORTAC  	35.657583	105.135583
j8	BGD  	VORTAC  	35.807056	101.382139
j8	DANKS	RPRT_PT 	35.630472	99.325667
j8	IFI  	VORTAC  	35.805278	98.003917
j8	SEGLR	RPRT_PT 	36.136778	97.054472
j8	COODY	RPRT_PT 	36.667167	95.500194
j8	SGF  	VORTAC  	37.355972	93.334056
j8	CROCK	RPRT_PT 	37.970389	92.199500
j8	STL  	VORTAC  	38.860694	90.482361
j8	BOSIE	RPRT_PT 	38.662528	89.050639
j8	ELIOE	RPRT_PT 	38.498500	87.956833
j8	IMPEL	RPRT_PT 	38.359556	87.083028
j8	IIU  	VORTAC  	38.103556	85.577472
j8	DACOS	RPRT_PT 	38.204222	84.241028
j8	HVQ  	VORTAC  	38.349667	81.769917
j8	PERRI	RPRT_PT 	38.297361	80.301417
j8	DILNN	RPRT_PT 	38.270944	79.706917
j8	RHODE	RPRT_PT 	38.255056	79.379028
j8	CSN  	VORTAC  	38.641222	77.865528
j9	LAX  	VORTAC  	33.933139	118.432028
j9	DAG  	VORTAC  	34.962444	116.578167
j9	CLARR	RPRT_PT 	35.675778	115.679639
j9	LAS  	VORTAC  	36.079694	115.159806
j9	NORRA	RPRT_PT 	36.759278	114.281139
j9	BERYL	RPRT_PT 	37.900056	113.385694
j9	GEGEE	COORDN FIX	37.966417	113.331306
j9	MLF  	VORTAC  	38.360361	113.013222
j9	FFU  	VORTAC  	40.274889	111.940528
j9	SLC  	VORTAC  	40.850250	111.981917
j9	DBS  	VORTAC  	44.088861	112.209333
j9	DLN  	VOR     	45.248556	112.547139
j9	GTF  	VORTAC  	47.449972	111.412167
j10	LAX  	VORTAC  	33.933139	118.432028
j10	CIVET	RPRT_PT 	34.034417	117.390889
j10	RUSTT	RPRT_PT 	34.049167	117.240444
j10	PIONE	RPRT_PT 	34.094472	116.738806
j10	TNP  	VORTAC  	34.112222	115.769917
j10	CADEZ	RPRT_PT 	34.206556	115.342889
j10	TP   	TRNG_PT 	34.556250	113.687361
j10	HIPPI	RPRT_PT 	34.562306	113.639361
j10	DRK  	VORTAC  	34.702583	112.480250
j10	FMN  	VORTAC  	36.748361	108.098944
j10	HBU  	VOR     	38.452111	107.039722
j10	FQF  	VORTAC  	39.690139	104.620972
j10	LBF  	VORTAC  	41.048639	100.747167
j10	OBH  	VORTAC  	41.375722	98.353583
j10	DSM  	VORTAC  	41.437583	93.648583
j10	IOW  	VORTAC  	41.518972	91.613250
j11	TUS  	VORTAC  	32.095194	110.914861
j11	TOTEC	RPRT_PT 	32.826639	111.642222
j11	TUKEE	RPRT_PT 	33.299306	111.897444
j11	PXR  	VORTAC  	33.433028	111.970194
j11	DRK  	VORTAC  	34.702583	112.480250
j11	NAVHO	RPRT_PT 	35.406944	112.439861
j11	BCE  	VORTAC  	37.689194	112.303889
j11	FFU  	VORTAC  	40.274889	111.940528
j11	SLC  	VORTAC  	40.850250	111.981917
j12	SEA  	VORTAC  	47.435389	122.309611
j12	EPH  	VORTAC  	47.377917	119.424000
j12	HAMUR	RPRT_PT 	46.995833	118.926250
j12	DNJ  	VORTAC  	44.767111	116.206278
j12	TWF  	VORTAC  	42.479861	114.489444
j12	PARKA	COORDN FIX	41.850361	113.470806
j12	SLC  	VORTAC  	40.850250	111.981917
j12	FFU  	VORTAC  	40.274889	111.940528
j12	HELPR	RPRT_PT 	39.763556	110.575306
j12	CISCO	COORDN FIX	39.303333	109.398111
j12	JNC  	VORTAC  	39.059556	108.792583
j13	BECON	RPRT_PT 	31.788222	106.712583
j13	TCS  	VORTAC  	33.282528	107.280528
j13	ABQ  	VORTAC  	35.043806	106.816306
j13	FRIHO	RPRT_PT 	35.438056	106.649528
j13	FLYBY	RPRT_PT 	35.601222	106.580000
j13	ESPAN	RPRT_PT 	36.119778	106.357028
j13	ALS  	VORTAC  	37.349139	105.815556
j13	TP   	TRNG_PT 	38.602806	105.387278
j13	FQF  	VORTAC  	39.690139	104.620972
j13	CYS  	VORTAC  	41.210944	104.772917
j13	DDY  	VORTAC  	43.090861	106.277028
j13	BIL  	VORTAC  	45.808528	108.624583
j13	GTF  	VORTAC  	47.449972	111.412167
j13	YQL  	VOR     	49.634444	112.667861
j14	AMA  	VORTAC  	35.287528	101.639306
j14	CRUSR	RPRT_PT 	35.350583	98.889417
j14	SERTS	RPRT_PT 	35.354250	98.869944
j14	IRW  	VORTAC  	35.358583	97.609222
j14	DWINE	RPRT_PT 	35.202694	96.169083
j14	KLUBB	RPRT_PT 	35.120222	95.466944
j14	KOMMA	RPRT_PT 	35.014611	94.677611
j14	LIT  	VORTAC  	34.677667	92.180500
j14	VUZ  	VORTAC  	33.670194	86.899806
j14	ATL  	VORTAC  	33.629083	84.435056
j14	TP   	TRNG_PT 	33.640361	84.170472
j14	SPA  	VORTAC  	35.033639	81.927056
j14	BYJAC	RPRT_PT 	35.957528	80.150778
j14	GSO  	VORTAC  	36.045694	79.976361
j14	JAXSN	RPRT_PT 	36.710611	78.789806
j14	CREWE	RPRT_PT 	37.022972	78.217694
j14	RIC  	VORTAC  	37.502333	77.320278
j14	TP   	TRNG_PT 	37.970333	76.844472
j14	PXT  	VORTAC  	38.287833	76.400222
j15	IAH  	VORTAC  	29.956944	95.345722
j15	MARCS	RPRT_PT 	29.897806	97.861278
j15	JCT  	VORTAC  	30.598028	99.817528
j15	LOWGO	RPRT_PT 	31.434083	102.022278
j15	INK  	VORTAC  	31.874778	103.243583
j15	CME  	VORTAC  	33.337500	104.621250
j15	CNX  	VORTAC  	34.367028	105.678000
j15	ABQ  	VORTAC  	35.043806	106.816306
j15	CURLY	RPRT_PT 	35.418000	107.092306
j15	TANER	RPRT_PT 	35.868306	107.428528
j15	PUMPS	RPRT_PT 	36.218667	107.693278
j15	FMN  	VORTAC  	36.748361	108.098944
j15	JNC  	VORTAC  	39.059556	108.792583
j15	WHANG	COORDN FIX	39.290500	109.186222
j15	SLC  	VORTAC  	40.850250	111.981917
j15	PARKA	COORDN FIX	41.850361	113.470806
j15	TWF  	VORTAC  	42.479861	114.489444
j15	BOI  	VORTAC  	43.552806	116.192139
j15	IMB  	VORTAC  	44.648389	119.711639
j15	TP   	TRNG_PT 	45.088194	121.697083
j15	BTG  	VORTAC  	45.747806	122.591528
j16	BTG  	VORTAC  	45.747806	122.591528
j16	PDT  	VORTAC  	45.698417	118.938722
j16	HIA  	VORTAC  	45.861778	112.169611
j16	BIL  	VORTAC  	45.808528	108.624583
j16	RECAP	RPRT_PT 	45.441167	104.643528
j16	DPR  	VORTAC  	45.078167	101.715083
j16	FSD  	VORTAC  	43.649528	96.781167
j16	HAYNS	RPRT_PT 	43.429056	95.322889
j16	MCW  	VORTAC  	43.094750	93.329861
j16	SABBO	RPRT_PT 	43.131472	91.168722
j16	SIBER	RPRT_PT 	43.134694	90.392667
j16	DUTYS	RPRT_PT 	43.130611	89.334972
j16	BAE  	VORTAC  	43.116861	88.284361
j16	GRUBB	RPRT_PT 	43.224250	85.339833
j16	MONEE	RPRT_PT 	43.241500	84.463444
j16	EJOYS	RPRT_PT 	43.253333	83.483611
j16	ECK  	VORTAC  	43.255889	82.717917
j16	YXU  	VORTAC  	43.038111	81.148472
j16	BUF  	VOR     	42.929000	78.646333
j16	HANKK	RPRT_PT 	42.895444	77.171389
j16	AUDIL	RPRT_PT 	42.871861	76.443056
j16	FABEN	RPRT_PT 	42.853333	75.952194
j16	ALB  	VORTAC  	42.747278	73.803194
j16	BOS  	VORTAC  	42.357472	70.989556
j17	SAT  	VORTAC  	29.644028	98.461361
j17	ROOMY	RPRT_PT 	31.485417	99.360806
j17	ABI  	VORTAC  	32.481361	99.863444
j17	DUMPS	RPRT_PT 	33.796778	100.679333
j17	TURKI	RPRT_PT 	34.294194	101.002667
j17	AMA  	VORTAC  	35.287528	101.639306
j17	TBE  	VORTAC  	37.258667	103.600056
j17	PUB  	VORTAC  	38.294250	104.429444
j17	FQF  	VORTAC  	39.690139	104.620972
j17	CYS  	VORTAC  	41.210944	104.772917
j17	RAP  	VORTAC  	43.976056	103.012306
j18	MZB  	VORTAC  	32.782194	117.225417
j18	GWIRE	RPRT_PT 	32.758694	115.906333
j18	IPL  	VORTAC  	32.748861	115.508583
j18	BZA  	VORTAC  	32.768139	114.602833
j18	MOHAK	RPRT_PT 	32.775861	113.972361
j18	GBN  	VORTAC  	32.956278	112.674278
j18	PXR  	VORTAC  	33.433028	111.970194
j18	BOLIC	RPRT_PT 	34.011222	110.351694
j18	VERNO	RPRT_PT 	34.260694	109.627222
j18	SJN  	VORTAC  	34.424056	109.143528
j18	ABQ  	VORTAC  	35.043806	106.816306
j18	LVS  	VORTAC  	35.657583	105.135583
j18	DRAWL	RPRT_PT 	37.485444	101.617278
j18	GCK  	VORTAC  	37.919083	100.725083
j18	SLN  	VORTAC  	38.925139	97.621361
j18	ANGEY	RPRT_PT 	39.303500	96.666000
j18	STJ  	VORTAC  	39.960583	94.925222
j18	BACNN	RPRT_PT 	40.208111	94.193472
j18	CHASY	RPRT_PT 	40.693944	92.698639
j18	ALBRT	RPRT_PT 	40.841389	92.228333
j18	MZV  	VORTAC  	41.321056	90.638083
j18	JOT  	VORTAC  	41.546389	88.318417
j19	PXR  	VORTAC  	33.433028	111.970194
j19	CHEAR	RPRT_PT 	34.369889	110.471222
j19	ZUN  	VORTAC  	34.965750	109.154500
j19	BUKKO	RPRT_PT 	35.529056	107.996500
j19	FLYBY	RPRT_PT 	35.601222	106.580000
j19	LVS  	VORTAC  	35.657583	105.135583
j19	LBL  	VORTAC  	37.044389	100.971194
j19	ICT  	VORTAC  	37.745222	97.583833
j19	DOSOA	RPRT_PT 	38.186694	95.027583
j19	BUM  	VORTAC  	38.272111	94.488222
j19	SCAWT	RPRT_PT 	38.355278	93.977861
j19	ELSTO	RPRT_PT 	38.636222	92.130917
j19	TRAKE	RPRT_PT 	38.691944	91.742750
j19	STL  	VORTAC  	38.860694	90.482361
j19	RBS  	VOR     	40.581694	88.164278
j19	OBK  	VORTAC  	42.223806	87.951639
j20	SEA  	VORTAC  	47.435389	122.309611
j20	RADDY	RPRT_PT 	47.074472	121.516167
j20	YKM  	VORTAC  	46.570278	120.444611
j20	PDT  	VORTAC  	45.698417	118.938722
j20	BEAMO	RPRT_PT 	45.314389	117.777667
j20	DNJ  	VORTAC  	44.767111	116.206278
j20	PIH  	VORTAC  	42.870389	112.652222
j20	OCS  	VORTAC  	41.590222	109.015306
j20	FQF  	VORTAC  	39.690139	104.620972
j20	QUAIL	RPRT_PT 	39.259556	104.127333
j20	HGO  	VORTAC  	38.815000	103.626056
j20	LAA  	VORTAC  	38.197083	102.687583
j20	DRAWL	RPRT_PT 	37.485444	101.617278
j20	LBL  	VORTAC  	37.044389	100.971194
j20	ROLLS	RPRT_PT 	35.722722	99.470639
j20	IRW  	VORTAC  	35.358583	97.609222
j20	ATOKA	RPRT_PT 	34.569500	96.406778
j20	PLATE	RPRT_PT 	34.360750	96.095417
j20	DECOD	RPRT_PT 	33.816111	95.295778
j20	EIC  	VORTAC  	32.771361	93.809917
j20	STAGE	RPRT_PT 	32.725056	93.048556
j20	JAN  	VORTAC  	32.507472	90.167583
j20	MEI  	VORTAC  	32.378444	88.804278
j20	MGM  	VORTAC  	32.222333	86.319722
j20	TLH  	VORTAC  	30.556167	84.373972
j20	TP   	TRNG_PT 	29.666250	83.124083
j20	ORL  	VORTAC  	28.542722	81.335000
j20	DEARY	RPRT_PT 	28.100694	80.914278
j20	LLNCH	RPRT_PT 	27.435472	80.695694
j20	ARKES	RPRT_PT 	26.577139	80.417667
j20	VKZ  	VOR     	25.751917	80.154444
j21	SUTOL	RPRT_PT 	26.336667	99.283333
j21	LRD  	VORTAC  	27.478778	99.417639
j21	SAT  	VORTAC  	29.644028	98.461361
j21	AUS  	VORTAC  	30.297528	97.703333
j21	ACT  	VORTAC  	31.662333	97.269028
j21	DFW  	VORTAC  	32.865917	97.028056
j21	TP   	TRNG_PT 	34.211556	97.168333
j21	IRW  	VORTAC  	35.358583	97.609222
j21	ICT  	VORTAC  	37.745222	97.583833
j21	PEABO	RPRT_PT 	38.150278	97.375222
j21	JUDGE	RPRT_PT 	39.015278	96.921167
j21	OVR  	VORTAC  	41.167278	95.736722
j21	DEFIN	RPRT_PT 	41.842333	95.358694
j21	GEP  	VORTAC  	45.145694	93.373194
j21	DLH  	VORTAC  	46.802167	92.202861
j22	NLD  	VOR     	27.433333	99.566667
j22	LRD  	VORTAC  	27.478778	99.417639
j22	CRP  	VORTAC  	27.903667	97.445028
j22	PSX  	VORTAC  	28.764417	96.306167
j22	HEIGH	RPRT_PT 	29.646500	94.286944
j22	LCH  	VORTAC  	30.141500	93.105556
j22	MCB  	VORTAC  	31.304444	90.258194
j22	MEI  	VORTAC  	32.378444	88.804278
j22	DELBE	RPRT_PT 	33.229500	87.560722
j22	VUZ  	VORTAC  	33.670194	86.899806
j22	VXV  	VORTAC  	35.904833	83.894722
j22	PSK  	VORTAC  	37.087694	80.712889
j22	MOL  	VOR     	37.900528	79.106889
j23	SAT  	VORTAC  	29.644028	98.461361
j23	HENLY	RPRT_PT 	30.108056	98.393417
j23	SPURS	RPRT_PT 	30.393472	98.351306
j23	BULLE	RPRT_PT 	31.536222	98.180139
j23	EDNAS	RPRT_PT 	31.618861	98.167639
j23	HICOE	RPRT_PT 	31.938139	98.118972
j23	MQP  	VORTAC  	32.726194	97.997444
j23	BATIK	RPRT_PT 	33.487639	97.887583
j23	IRW  	VORTAC  	35.358583	97.609222
j23	PER  	VORTAC  	36.746500	97.160111
j23	ICT  	VORTAC  	37.745222	97.583833
j24	MTU  	VORTAC  	40.144972	110.127639
j24	CHE  	VOR     	40.520083	107.304889
j24	HGO  	VORTAC  	38.815000	103.626056
j24	SELLS	RPRT_PT 	38.826056	103.168444
j24	OATHE	RPRT_PT 	38.848500	101.794222
j24	HYS  	VORTAC  	38.847639	99.276778
j24	SLN  	VORTAC  	38.925139	97.621361
j24	JUDGE	RPRT_PT 	39.015278	96.921167
j24	MKC  	VORTAC  	39.279361	94.591389
j24	DRIVL	RPRT_PT 	39.189333	93.570944
j24	WELTS	RPRT_PT 	39.008139	91.771056
j24	STL  	VORTAC  	38.860694	90.482361
j24	COWES	RPRT_PT 	39.278111	88.772000
j24	TILMN	RPRT_PT 	39.495556	87.828694
j24	VHP  	VORTAC  	39.814722	86.367583
j24	BIGXX	RPRT_PT 	39.330972	85.497444
j24	HICKI	RPRT_PT 	39.018611	84.948000
j24	FLM  	VOR     	38.649500	84.310639
j24	HVQ  	VORTAC  	38.349667	81.769917
j24	TUKEY	RPRT_PT 	38.192917	80.795278
j24	OAKLE	RPRT_PT 	38.120500	80.362444
j24	BIGAL	RPRT_PT 	37.992333	79.620722
j24	MOL  	VOR     	37.900528	79.106889
j24	FAK  	VORTAC  	37.528500	77.828222
j24	RUSSL	RPRT_PT 	37.496972	77.369083
j24	HCM  	VORTAC  	37.448667	76.711361
j25	MAM  	VOR     	25.770833	97.523889
j25	BRO  	VORTAC  	25.924056	97.375500
j25	CRP  	VORTAC  	27.903667	97.445028
j25	CRIMP	RPRT_PT 	28.441556	98.147361
j25	SAT  	VORTAC  	29.644028	98.461361
j25	AUS  	VORTAC  	30.297528	97.703333
j25	ACT  	VORTAC  	31.662333	97.269028
j25	DFW  	VORTAC  	32.865917	97.028056
j25	ATOKA	RPRT_PT 	34.569500	96.406778
j25	DWINE	RPRT_PT 	35.202694	96.169083
j25	TOLLS	RPRT_PT 	35.733278	95.961667
j25	TUL  	VORTAC  	36.196278	95.788083
j25	DOSOA	RPRT_PT 	38.186694	95.027583
j25	MKC  	VORTAC  	39.279361	94.591389
j25	BACNN	RPRT_PT 	40.208111	94.193472
j25	DSM  	VORTAC  	41.437583	93.648583
j25	JORDY	RPRT_PT 	42.086472	93.525806
j25	MCW  	VORTAC  	43.094750	93.329861
j25	GEP  	VORTAC  	45.145694	93.373194
j25	OLLEE	RPRT_PT 	45.535528	93.581528
j25	GOLLF	RPRT_PT 	45.753639	93.699444
j25	BRD  	VORTAC  	46.348278	94.026028
j25	YWG  	VORTAC  	49.927778	97.239222
j26	CJS  	VOR     	31.636111	106.426389
j26	ELP  	VORTAC  	31.815917	106.281889
j26	SUMMY	RPRT_PT 	31.986889	105.726861
j26	CME  	VORTAC  	33.337500	104.621250
j26	AMA  	VORTAC  	35.287528	101.639306
j26	GAG  	VORTAC  	36.343722	99.880111
j26	ICT  	VORTAC  	37.745222	97.583833
j26	FRACA	RPRT_PT 	38.182278	96.759056
j26	MKC  	VORTAC  	39.279361	94.591389
j26	IRK  	VORTAC  	40.134972	92.591722
j26	COLIE	RPRT_PT 	40.280583	92.183861
j26	LOAMY	RPRT_PT 	40.424472	91.784278
j26	KEOKK	RPRT_PT 	40.553417	91.403667
j26	BDF  	VORTAC  	41.159722	89.587861
j26	JOT  	VORTAC  	41.546389	88.318417
j27	SAT  	VORTAC  	29.644028	98.461361
j27	MARCS	RPRT_PT 	29.897806	97.861278
j27	PUFER	RPRT_PT 	30.214444	97.098806
j27	STELL	RPRT_PT 	30.840028	95.544667
j27	LFK  	VORTAC  	31.162361	94.716944
j28	MLF  	VORTAC  	38.360361	113.013222
j28	HVE  	VORTAC  	38.416806	110.699722
j28	HBU  	VOR     	38.452111	107.039722
j28	PUB  	VORTAC  	38.294250	104.429444
j28	GCK  	VORTAC  	37.919083	100.725083
j28	KYLER	RPRT_PT 	37.801944	98.455528
j28	ICT  	VORTAC  	37.745222	97.583833
j29	SUTOL	RPRT_PT 	26.336667	99.283333
j29	DEVOE	RPRT_PT 	26.544167	99.170111
j29	CRP  	VORTAC  	27.903667	97.445028
j29	PSX  	VORTAC  	28.764417	96.306167
j29	IAH  	VORTAC  	29.956944	95.345722
j29	LFK  	VORTAC  	31.162361	94.716944
j29	MOTLY	RPRT_PT 	31.849722	94.098833
j29	EMG  	VORTAC  	32.400167	93.595139
j29	ELD  	VORTAC  	33.256167	92.743944
j29	SUTTN	RPRT_PT 	33.505861	92.374556
j29	MEM  	VORTAC  	35.062639	89.981583
j29	TIGRS	RPRT_PT 	36.453500	88.929028
j29	TINGS	RPRT_PT 	37.306528	88.260944
j29	PXV  	VORTAC  	37.928333	87.762389
j29	IMPEL	RPRT_PT 	38.359556	87.083028
j29	JUDDI	RPRT_PT 	38.759389	86.440111
j29	KURTZ	RPRT_PT 	38.972167	86.092639
j29	BIGXX	RPRT_PT 	39.330972	85.497444
j29	ROD  	VORTAC  	40.287806	84.043139
j29	DJB  	VORTAC  	41.358083	82.161944
j29	DORET	RPRT_PT 	41.801639	80.584639
j29	JHW  	VOR     	42.188611	79.121278
j29	DOTTS	COORDN FIX	43.002500	76.700833
j29	SYR  	VORTAC  	43.160528	76.204556
j29	TUPER	RPRT_PT 	44.196111	74.410083
j29	LAGGS	RPRT_PT 	44.297111	74.228944
j29	PLB  	VORTAC  	44.684972	73.522667
j29	COVAN	RPRT_PT 	44.740472	72.395417
j29	RANGY	RPRT_PT 	44.803417	70.681083
j29	BGR  	VORTAC  	44.841806	68.873944
j29	YHZ  	VOR     	44.923139	63.401833
j30	ODI  	VORTAC  	43.912389	91.467611
j30	SIBER	RPRT_PT 	43.134694	90.392667
j30	BRIBE	RPRT_PT 	42.798361	89.940361
j30	COTON	RPRT_PT 	42.319889	89.312167
j30	JOT  	VORTAC  	41.546389	88.318417
j30	MOPER	RPRT_PT 	41.431278	87.786806
j30	WHETT	RPRT_PT 	41.160167	86.584083
j30	APE  	VORTAC  	40.151083	82.588306
j30	OTMAN	RPRT_PT 	39.946972	81.904333
j30	KARYL	RPRT_PT 	39.866250	81.638528
j30	LUISE	RPRT_PT 	39.574250	80.698528
j30	BUCKO	RPRT_PT 	39.293833	79.825028
j30	ESL  	VOR     	39.225500	78.989500
j30	DRUZZ	RPRT_PT 	39.163417	78.357972
j30	TRIXY	RPRT_PT 	39.139222	78.121111
j31	LEV  	VORTAC  	29.175222	90.104028
j31	HRV  	VORTAC  	29.850194	90.002972
j31	MEI  	VORTAC  	32.378444	88.804278
j31	DELBE	RPRT_PT 	33.229500	87.560722
