Name	1 Yr	3 Yr	5 Yr	10 Yr	Since Inception	Inception Date	Expense Ratio	Load Type	NTF Status	Net Assets MM	Net Assets Date	Inv. Objs.	Fund Symbol	Datenum
Fidelity Select Retailing	26.12	18.86	16.83	16.89	17.77	12/16/85	1.39	front,red	N	108.4	10/31/97	Unal.	FSRPX	31397
Fidelity Select Software & Comp	25.6	31.04	27.41	17.96	20.26	07/29/85	1.51	front,red	N	433.9	10/31/97	Tech	FSCSX	31257
Fidelity Select Tech	44.95	32.08	29.77	16.11	17.08	07/14/81	1.44	front,red	N	547.9	10/31/97	Tech	FSPTX	29781
Fidelity Select Transportation	40.51	18.22	21.24	15.46	15.99	09/29/86	2.48	front,red	N	64.7	10/31/97	Unal.	FSRSX	31684
Fidelity Select Util Growth	28.72	19.64	13.48	13.75	15.91	12/10/81	1.46	front,red	N	250.2	10/31/97	Util	FSUTX	29930
Fidelity Util	28.86	18.44	14.08	0	14.26	11/27/87	0.81	no load	Y	1316.2	10/31/97	Util	FIUIX	32108
Flagship Utility Income A	11.28	12.2	8.2	4.02	5.1	08/26/83	0.98	front	N	19.3	10/31/97	Util	FUIAX	30554
Franklin Dyna Tech I	29.52	24.52	17.87	13.92	2.1	01/01/68	1.05	front	N	179.6	10/31/97	Tech	FKDNX	24838
Franklin Global Utilites	21.53	16.6	15.96	0	15.21	07/02/92	1	front	N	186.2	10/31/97	Util	FRGUX	33787
Franklin Util I	8.89	12.74	6.8	9.5	0.78	09/30/48	0.71	front	N	1940.5	10/31/97	Util	FKUTX	17806
Heitman RlEst Instl	41.62	22.26	19	0	11.45	03/13/89	1.23	no load	N	150	10/31/97	RlEst	PRREX	32580
Invesco Strategic Enviornmental Svcs	27.54	26.04	12.4	0	7.71	01/02/91	1.61	no load	Y	23.2	10/31/97	Unal.	FSEVX	33240
Invesco Strategic Leisure	19.93	14.6	18.22	16.2	18.22	01/19/84	1.3	no load	Y	211.8	10/31/97	Unal.	FLISX	30700
Invesco Strategic Tech	26.33	32.04	27.11	19.23	19.02	01/19/84	1.08	no load	Y	1035.2	10/31/97	Tech	FTCHX	30700
Invesco Stategic Util	18.13	15.09	13.19	11.62	11.47	06/02/86	1.17	no load	Y	131.2	10/31/97	Util	FSTUX	31565
John Hancock Global Tech A	25.18	26.19	26.95	12.08	11.05	01/13/83	1.57	front	N	164	10/31/97	Tech	NTTFX	30329
Kemper Tech A	22.3	28.45	24.15	13.19	0.39	09/07/48	0.89	front	N	1065.5	10/31/97	Tech	KTCAX	17783
MFS Util A	29.4	21.74	16.8	0	16.17	01/22/92	1.08	front	N	89.7	10/31/97	Util	MMUFX	33625
Putnam Util Growth & Income A	15.79	16.74	11.7	0	11.82	11/19/90	1.11	front	N	653.5	10/31/97	Util	PUGIX	33196
Putnam Util Growth & Income B	17.95	17.47	12.1	0	12.79	04/27/92	1.86	back	N	657.9	10/31/97	Util	PUTBX	33721
Seligman Communications&Information A	51.08	33.11	38.06	21.64	20	06/23/83	1.68	front	N	3127.6	10/31/97	Tech	SLMCX	30490
Stratton  Monthly Dividend	27.74	15.79	8.69	9.33	2.51	04/01/72	1.02	no load	N	99.2	10/31/97	Util	STMDX	26390
T. Rowe Price Science & Tech	16.39	30.86	29.3	21.73	21.73	09/30/87	0.97	no load	N	3725.3	10/31/97	Tech	PRSCX	32050
Templeton Global RlEst I	18.21	8.96	11.8	0	9.35	09/12/89	1.45	front	N	141.6	10/31/97	RlEst	TEMRX	32763
U.S. Global Investors RlEst I	40.88	22.27	12.96	9	8.27	07/02/87	1.8	red fee	Y	14.9	10/31/97	RlEst	UNREX	31960
UAM SAMI Preferred Stock Income	8.45	7.14	5.2	0	5.16	06/23/92	0.99	no load	Y	32.6	10/31/97	Util	SAPSX	33778
Vanguard Specialized Util Income	17.42	15.67	11.19	0	12.01	05/15/92	0.4	no load	N	599.5	10/31/97	Util	VGSUX	33739
