CITY	LATITUDE	LONGITUDE	ELEVATION
Pensacola NAS	30.364721	87.311195	0
Pensacola (Reg)	30.482111	87.185974	125
Sarasota-Bradenton	27.394556	82.550362	20
Tallahassee	30.407444	84.355751	68
Tampa	27.987862	82.544388	18
West Palm Beach	26.686472	80.102364	14
Whiting Field NAS	30.712444	87.021637	0
Atlanta	33.628750	84.430054	1030
Augusta	33.364029	81.957138	137
Columbus	32.521084	84.944115	441
Dobbins	33.921082	84.519608	0
Macon	32.646000	83.605057	0
Savannah	32.133446	81.213280	18
Savannah/Hunter AAF	32.002529	81.144608	0
Warner Robins	32.646000	83.605057	312
Boise	43.565418	116.235916	2848
Champaign (UIW)	40.043583	88.286835	755
Chicago-O'Hare (N)	41.980667	87.927887	665
Chicago-O'Hare (S)	41.980167	87.927780	670
Moline (Quad)	41.434582	90.499359	685
Peoria	40.671833	89.702553	630
Rockford	42.198860	89.107246	730
Springfield	39.841026	89.690025	585
Evansville	38.044498	87.515503	433
Fort Wayne	40.989498	85.204391	802
Indianapolis	39.702446	86.288834	800
South Bend	41.706585	86.325447	784
South Bend	41.708389	86.324471	0
Terre Haute	39.455223	87.313835	570
Cedar Rapids	41.880749	91.713501	860
Des Moines	41.540585	93.652916	955
Sioux City	42.402611	96.393555	1086
Waterloo	42.560780	92.387192	878
Wichita	37.643360	97.435753	1310
Covington-Cinn	39.042805	84.654198	901
Covington-Cinn	39.041138	84.652420	910
Ft Campbell AAF	36.666306	87.481163	0
Lexington	38.033695	84.594666	980
Louisville	38.188137	85.729698	500
Baton Rouge	30.536139	91.149666	70
Lafayette	30.212000	91.959305	20
Lake Charles	30.113277	93.216583	7
Monroe	32.511639	92.013947	70
New Orleans	29.841862	90.025085	0
Shreveport AFB	32.513390	93.658943	164
Bangor	44.806252	68.838943	235
Brunswick NAS	43.884804	69.946999	0
Portland	43.653946	70.304726	93
Andrews AFB	38.812248	76.867058	270
Baltimore-Was	39.179501	76.683861	158
Boston Intl	42.348721	71.005753	20
Falmouth	41.662388	70.522392	123
Nantucket Mem	41.248474	70.060669	0
Alpena	45.077446	83.559387	0
Detriot	42.213112	83.379112	640
Flint (Bishop)	42.956249	83.746918	779
Grand Rapids	42.881527	85.523247	790
Kalamazoo	42.230526	85.556305	870
Lansing (Capit)	42.783360	84.588448	855
Mount Clemens	42.606415	82.848526	0
Muskegon	43.159668	86.248276	615
Saginaw (Tri)	43.522083	84.075058	665
Duluth	46.845722	92.199165	1440
Minneapolis	44.890388	93.230637	853
Rochester	43.909557	92.501808	1294
Gulfport-Biloxi	30.406778	89.082001	25
Jackson	32.305500	90.083443	315
Meridian NAS	32.559860	88.571304	337
Kansas City Intl	39.282890	94.725250	1005
St. Louis/Lambert	38.743694	90.341919	610
Springfield	37.252666	93.390335	1260
Billings	45.811222	108.540665	3535
Great Falls	47.490917	111.380531	3640
Lincoln	40.840694	96.769974	1160
Omaha (Offutt)	41.143002	95.903725	1215
Las Vegas	36.070557	115.133499	2125
Reno 	39.500389	119.781303	4395
Manchester	42.950001	71.299225	330
Portsmouth	43.079113	70.821945	85
Atlantic City	39.452751	74.591919	75
Newark	40.690334	74.162781	5
Albuquerque	35.030804	106.605698	5278
Clovis Cannon AFB	34.384583	103.316444	0
Albany	42.745388	73.798309	285
Binghamton	42.214306	75.978775	1560
Buffalo Int	42.940777	78.735832	715
Elmira	42.174416	76.909531	1560
Islip	40.793972	73.100136	85
New York (JFK)	40.636223	73.766891	12
Newburg (Stewart)	41.490360	74.105972	630
Rochester	43.120667	77.665031	545
Rome (Griffiss)	43.228138	75.423775	532
Syracuse	43.112362	76.105309	420
White Plains	41.061195	73.714165	416
Asheville	35.442276	82.540001	2160
Charlotte	35.214249	80.947670	720
Cherry Point	34.902111	76.872002	0
Fayetteville	34.979332	78.874420	170
Greensboro	36.093472	79.933502	890
Raleigh	35.876945	78.776108	400
Seymour Johnson	35.341251	77.959999	0
Wilmington	34.268585	77.896500	25
Bismarck	46.778416	100.741081	1670
Fargo	46.920223	96.812164	900
Minot AFB	48.425583	101.368500	0
Akron-Canton	40.925777	81.445084	1215
Cleveland-Hop	41.403694	81.852280	780
Columbus	40.007832	82.894333	810
Dayton	39.909637	84.240669	0
Dayton (J.Cox)	39.902779	84.217552	1000
Mansfield	40.818584	82.521973	1290
Toledo	41.586304	83.803360	671
Youngstown	41.257668	80.678253	1154
Altus AFB	34.660805	99.264664	0
FAA Academy	36.175110	95.664970	0
Fort Sill AAF	34.648724	98.383446	0
Lawton	34.648724	98.383446	1130
Oklahoma Cty	35.378223	97.618889	1250
Tulsa	36.212639	95.918335	610
Eugene	44.124584	123.225502	360
Portland	45.586613	122.626862	20
Allentown	40.652748	75.450142	385
Harrisburg	40.185833	76.794998	1047
Erie 	42.083363	80.176941	725
Philadelphia	39.859585	75.266945	21
Pittsburgh	40.473167	80.262833	1200
Reading	40.378029	75.957664	305
Scranton	41.294888	75.703308	1035
Willow Grove NAS	40.193890	75.152946	0
Providence	41.720974	71.598274	15
Charleston Intl	32.874527	80.041420	20
Columbia	33.949749	81.129944	280
Florence	34.182140	79.720665	110
Greenville-Spart	34.888584	82.207169	946
Myrtle Beach	33.675945	78.935280	25
Sioux Falls	43.579945	96.741722	1425
Bristol	36.473194	82.403557	1533
Chattanooga	35.033443	85.207947	685
Knoxville	35.807888	83.984970	975
Memphis	35.021446	89.980553	350
Nashville	36.132832	86.646027	560
Abilene	32.435249	99.850029	1780
Amarillo	35.227974	101.710197	3600
Austin	30.284166	97.697113	555
Beaumont	29.948860	94.025307	11
Corpus Christi	27.732805	97.396942	34
Dallas/DFW	32.876945	97.014778	580
Dallas/Colley	32.880749	97.118385	580
Dallas NAS	32.727249	96.978447	0
El Paso	31.809166	106.358665	3935
Harlingen	26.162861	97.712166	0
Houston (Intctl)	29.998362	95.353531	90
Houston (Hobby)	29.618555	95.270775	50
Longview	32.387638	94.698608	350
Lubbock	33.668278	101.853333	3310
Midland	31.963362	102.197304	2858
Rio Grande	26.162861	97.712166	0
San Angelo	31.342333	100.492142	1910
San Antonio	29.558945	98.469276	865
Waco 	31.612055	97.237358	501
  (Sheppard AFB)	34.005306	98.506248	995
Salt Lake City	40.810638	111.966637	4218
Burlington	44.467472	73.149696	334
Chantilly	38.956696	77.463387	275
Langley AFB	37.087944	76.363388	10
Norfolk	36.895748	76.193222	25
Richmond	37.505333	77.324219	160
Roanoke	37.327000	79.982391	1160
Washington Ntl	38.845196	77.033447	15
Moses Lake	47.205276	119.324753	0
Pasco	46.026306	118.865837	1170
Seattle-Tacoma	47.452610	122.317139	309
Spokane	47.619720	117.551941	2370
Tacoma	47.138416	122.472031	288
Whidbey Is. NAS	48.322861	122.664833	0
Yakima	46.560276	120.538612	0
Charleston	38.362751	81.588333	1050
Clarksburg	39.319889	80.232109	1500
Huntington	38.374168	82.566612	830
Martinsburg	39.399639	77.988503	557
Green Bay	44.474972	88.130028	675
Madison	43.153057	89.335388	950
Milwaukee	42.951389	87.898529	670
Milwaukee	42.942390	87.918587	720
Casper	42.921055	106.454224	5295
Cheyenne	41.158001	104.817360	0
San Juan	18.451860	65.991249	5
St.Thomas	18.347166	65.025970	400
