FIPS.STATE	STUB.GEO	P0010001	P0040001	P0050001	P0060001	P0060002	P0060003	P0060004	P0070001	P0070002	P0130001	P0130002	P0130003	P0130004	P0130005	P0130006	P0130007	P0130008	P0130009	P0130010	P0130011	P0130012	P0130013	P0130014	P0130015	P0130016	P0130017	P0130018	P0130019	P0130020	P0130021	P0130022	P0130023	P0130024	P0130025	P0130026	P0130027	P0130028	P0130029	P0130030	P0130031	P0160001	P0160002	P0160003	P0160004	P0160005	P0160006	P0160007	P0800001	P0800002	P0800003	P0800004	P0800005	P0800006	P0800007	P0800008	P0800009	P0800010	P0800011	P0800012	P0800013	P0800014	P0800015	P0800016	P0800017	P0800018	P0800019	P0800020	P0800021	P0800022	P0800023	P0800024	P0800025	P080A001	P0810001	P0810002	P0890001	P0890002	P0900001	P0900002	P1120001	P1120002	P1120003	P1120004	H0010001	H0040001	H0040002	H0050001	H0050002	H0050003	H0050004	H0080001	H0080002	H0230001	H0230002	H0230003	H0230004	H0300001	H0300002	H0300003	H0300004	H0300005	H0300006	H0300007	H0300008	H0300009
13	Georgia	6478216	1726248	2366575	3259598	836480	80083	2302055	3141761	3336455	87445	211006	195577	98825	93896	291705	193418	186580	88379	93004	94434	96381	100572	111258	107392	99707	305217	591135	591134	531190	483298	379626	299276	257209	95788	142217	219091	172266	127916	77652	55622	533234	740025	457421	385593	163351	54810	32141	187826	210252	110044	94098	111240	98883	114410	94035	108915	88064	107248	79506	91230	68975	83586	60811	65808	50507	100809	79153	161705	109354	40880	16094	33142	29021	78198995969	8915419525	1966688	399887	1906922	459653	188613	479961	830362	227312	2638418	2366615	271803	1367464	332658	28775	909521	1536829	829786	2144049	391011	85715	17643	1262087	327065	643877	35493	435	90918	495	2052	4193
15	Hawaii	1108229	266439	356748	747028	238791	6277	116133	564338	543891	14509	34782	32729	16848	16074	49236	31100	29582	13997	13854	13806	13708	13647	16023	17604	18122	52788	101252	102214	96621	81785	62810	46683	44934	18590	30254	46385	32875	22027	12721	10669	67857	102726	65722	59136	31772	14910	14625	13393	18011	10981	10676	13140	12184	15147	12834	14603	11194	15204	11185	14144	10680	13338	10108	10651	9142	19706	15999	37911	31076	12774	4866	7801	38829	15083300833	2030718413	307955	48793	297748	59000	25867	62990	124141	53441	389810	356267	33543	255180	86523	1958	46149	191894	164373	380375	755	113	8567	11723	7257	135102	607	0	1728	5578	125	194147
16	Idaho	1006749	265597	361432	278439	299937	44869	383504	501548	505201	13970	32831	33245	17219	17293	55766	37655	35727	16605	16619	15755	15152	15850	16835	14341	13042	37552	71943	82144	79904	69434	54797	44113	39181	15607	23031	38409	32077	23830	15853	10969	80364	122797	55994	53089	27238	12804	9146	19805	38078	20979	19542	21930	19434	21094	17897	19009	15567	18058	12999	13982	11037	12255	8393	9056	6885	13313	8518	16675	9192	3454	1259	3021	25257	10529082781	875563872	296881	64551	279214	82218	30702	73324	130097	31474	413327	360723	52604	109338	119236	15764	168989	252687	108036	289502	105860	6473	11492	101548	11292	143503	32394	4558	64791	191	1957	489
17	Illinois	11430602	2944521	4197720	8479409	1189667	207016	1554510	5547079	5883523	147850	360411	336503	170784	164195	503346	329690	314819	151381	155013	153311	160518	167474	178207	174234	165558	503378	980655	1022661	908486	794019	643725	535748	484968	196549	292739	458661	368748	283687	180125	143159	1071131	1273998	705044	640343	314087	116801	76316	254426	341673	176049	153992	176628	160482	187883	155080	178932	146001	186209	138885	164520	130981	157343	117047	128640	101414	205916	161095	334370	236352	90668	38190	74944	32252	150840734225	20783992367	3390332	807388	3287868	909852	357733	806224	1335533	445031	4506275	4202240	304035	3321048	492281	78078	614868	2699121	1503119	4044971	366146	74026	21132	3374432	182746	472210	75043	4514	43898	1139	27998	20260
18	Indiana	5544159	1490130	2064246	2690908	905109	188133	1760009	2687959	2856200	71182	166145	160672	81417	78834	248609	168755	160472	78873	80277	79655	82634	86754	97284	91096	84651	237379	448240	471713	433859	385743	310953	261664	238466	96034	146853	229360	177064	133346	86673	69502	493305	666873	365749	327677	143430	45189	22023	112983	186940	101425	90499	103797	97266	107660	88959	99866	82353	98888	75770	85883	67450	79265	57551	60885	47890	92483	68503	130755	75857	23304	9328	18686	28797	66765759864	5201500076	1673614	390632	1622352	441894	172403	411529	706210	199988	2246046	2065355	180691	1115078	373846	68669	688453	1450899	614456	1664281	516561	47725	17479	1303759	132864	398892	127072	3899	86977	573	8177	3142
19	Iowa	2776755	746331	1065243	942394	740466	256562	837333	1344570	1432185	34565	80106	78558	40841	41358	127292	85211	80162	38201	38758	37223	37069	40254	46146	42538	40512	111163	206602	224389	213397	183929	145289	127683	121647	49974	78039	122026	106152	84349	58921	54401	274365	367093	164062	156645	73629	21206	8243	59821	113277	58528	53033	57963	52971	59878	50401	54406	46682	52326	41583	42188	34179	37832	27963	27454	22247	41387	28689	51263	28894	9613	4319	8346	26229	31787445198	2166604410	848298	216945	795447	269796	91096	184172	376970	94093	1143669	1064325	79344	386019	308612	90520	358518	745371	318954	927716	174323	35661	5969	698557	157289	111249	58278	372	30350	234	5437	2559
20	Kansas	2477574	664668	946253	1018608	693963	108083	656920	1214860	1262714	32836	77314	77809	38869	38153	118009	75285	71576	33870	33419	32577	32285	33429	39875	38006	35967	102359	201205	215194	196429	167520	128811	105940	102965	41851	63613	101543	84060	67251	47666	41888	243325	316475	150654	141999	65373	19916	8511	56138	93556	49938	43643	49162	45249	50649	42626	46010	38004	46233	34484	36983	29021	32495	23761	25428	20309	39158	28124	54965	33394	11842	4811	10270	27291	29652103308	2694353531	771795	174458	731720	214533	73641	178715	335505	76807	1044112	944726	99386	432400	290022	41106	280584	641760	302966	934508	90689	13418	5497	717469	83029	111066	2706	80	26947	545	2262	622
21	Kentucky	3685296	1021747	1379610	1276809	633219	174204	1601064	1785068	1900228	43001	104661	102679	52018	51786	161003	113026	110805	52584	55024	53981	55050	57269	63664	58959	55389	160564	298577	313769	289113	261675	206560	175571	160979	63698	97075	151224	118861	93172	59495	44064	319383	440086	271928	222515	88364	26145	11189	145176	176377	85439	70493	75759	64565	71196	58279	62987	50933	59591	43369	47617	37023	41984	29551	30758	24570	46383	32978	60947	35565	12069	5022	10979	22534	37474631080	3022315664	1058733	320877	1010620	368990	158254	309115	445664	108714	1506845	1379782	127063	533173	264211	66419	643042	960508	419274	1214664	171220	35303	85658	629310	105948	414015	66320	43617	113705	239	4553	2075
22	Louisiana	4219973	1098374	1498371	2228058	643980	40103	1307832	2029659	2190314	57488	139457	136675	72850	70480	216290	143241	133582	65813	64804	63789	64808	65881	71441	67760	63926	184694	346649	364124	324344	281775	223483	188703	169129	68604	102750	156321	120747	91359	57422	41584	351609	431324	276308	244417	121003	44695	29015	188156	187026	92975	75174	78579	68574	75286	60065	65292	50856	61674	43526	49029	37594	43802	31445	32887	25077	49214	36087	68564	41083	15380	6548	14478	21949	40324420202	3896050637	1151046	347325	1107564	390807	178477	373008	440655	106234	1716241	1499269	216972	933059	249037	15098	519047	988012	511257	1527872	156538	26393	5438	825667	86964	542099	4848	54	34547	134	1734	3222
23	Maine	1227928	330831	465729	266606	281605	11008	668709	597852	630076	14746	35396	35664	18595	17666	53304	34956	32785	15815	16357	16922	17094	18163	19399	18371	17391	49691	98141	107803	102202	92122	68779	55099	53772	22062	32473	50779	41455	31868	21214	17844	107856	158537	83547	75634	28951	8285	2919	23344	48062	23404	21011	24359	21955	25123	20385	22472	19412	23976	17224	19483	15451	17990	12609	13328	10839	19576	14502	25569	14267	5079	2093	4216	27854	14567321195	1083422809	372786	92943	356070	109659	40935	86290	160650	42956	587045	465312	121733	114560	122639	3780	346066	327928	137384	312299	190639	55192	28915	8181	9018	54215	323332	3285	65410	387	812	672
24	Maryland	4781468	1256327	1749342	3581336	306645	32596	860891	2317778	2463690	63822	151876	140485	70967	67715	195464	124699	115992	56107	57511	57267	60317	63449	70140	71944	69434	221614	447786	457478	405132	371039	296725	231835	202153	77386	116451	181441	135725	94642	59543	45329	391814	548326	339910	282572	120762	41712	24246	76524	96326	51557	46479	57816	54762	66425	57231	69960	57272	73845	56082	68314	55769	67855	50782	57961	46931	98440	80578	184742	152604	59331	23352	38404	39386	73778765335	10023229418	1481019	268323	1444776	304566	121850	320246	609334	204897	1891917	1748991	142926	1415168	141152	11230	324367	1137307	611684	1565946	283750	31405	10816	754715	40037	517117	385929	6022	33358	498	5971	5344
25	Massachusetts	6016425	1525198	2244406	4729715	339146	9342	938222	2886477	3129948	73159	173718	163797	79985	76754	221782	145105	135911	67363	69079	70189	74543	89402	105376	105387	101711	300941	555805	549739	481717	433930	341242	265181	253448	103185	158049	254761	209370	160350	105655	89791	576230	697272	392399	345434	156851	51414	24806	91295	209406	79429	66929	76818	70648	83863	68475	85480	68408	89784	67061	82740	66641	82380	61175	69006	55108	119618	97719	224308	178806	72509	29839	46961	36952	90169393363	11888440304	1801084	443322	1750135	494271	186077	371133	695161	272827	2472711	2247110	225601	1916804	156128	3184	396595	1331533	915577	2265229	171182	29132	7168	852905	47375	303466	989299	7340	32957	1000	7124	5644
26	Michigan	9295297	2458481	3424122	5811662	743184	120496	2619955	4511601	4783696	129569	289406	281585	141814	135640	416362	277414	262117	126913	132457	131420	137026	140910	153415	149189	140465	406953	763480	819896	747777	660437	522542	427778	391768	159136	242810	373263	289282	208114	130590	105769	805670	1082989	599049	546615	256880	86985	45934	203692	329871	157429	136230	148772	135058	150724	127463	142471	119568	148969	114342	130903	105740	126737	93225	100851	81507	163175	127089	266496	185137	62915	24362	41396	31020	119382465249	10952844992	2689382	734740	2618655	805467	358814	693201	1066502	339964	3847926	3419331	428595	2307042	302988	42425	1195471	2427472	991859	2711224	1064011	57055	15636	2630526	207320	185631	236335	1753	131881	713	17298	7874
27	Minnesota	4375099	1138581	1648825	2370403	685325	207956	1111415	2144693	2230406	59517	138130	138591	70513	68082	208662	133457	120171	58065	58496	56231	57994	59288	65157	64884	60933	186366	378056	406268	362939	304149	235352	193432	172702	67552	103550	160777	134991	109083	75406	66305	411914	540255	265031	257118	121015	37838	15654	72190	155847	75108	66147	74543	68915	78337	67339	75139	63065	76449	59076	67409	54400	63288	49000	50689	40744	79007	60407	117357	74782	26994	11191	21402	30909	56738422492	5452576143	1352771	296054	1296381	352444	127306	261192	592154	157929	1848445	1647853	200592	964933	277219	67951	538342	1183738	464115	1348611	442662	41356	15816	1036477	134805	172304	195823	864	79924	403	19161	8092
28	Mississippi	2573216	679191	910574	617704	593567	56225	1305720	1229659	1343557	33008	81267	80136	41929	41455	129868	87411	84642	41173	42476	41231	42775	46302	49565	44222	40721	106038	199476	204278	184962	166235	132841	116843	107171	41335	64611	100338	81826	65235	42110	31736	210277	268274	168253	146466	69775	26995	20534	118663	129769	59375	49524	51499	43881	47250	36740	40909	32169	36396	25551	28044	22042	24508	17871	18418	13860	26413	18357	34800	19121	6332	2780	6302	20136	22687365246	1788443234	691925	218649	665442	245132	105262	212852	289196	71881	1010423	911374	99049	249872	239115	19779	501657	651612	259762	882496	106407	16040	5480	371478	183098	278922	4340	144	71128	223	815	1226
29	Missouri	5117073	1378020	1961364	2782750	733132	180097	1421094	2464563	2652510	64674	153663	150032	74555	74378	230268	150731	142232	67478	69778	68109	69572	73318	81012	76068	70483	209143	416267	439935	389794	345031	285357	239855	227104	91828	138557	221350	175064	141507	98873	81057	507394	644778	332065	289110	127529	40681	19807	140008	208126	108083	94186	101419	92560	102951	83045	92347	74391	90015	67272	74725	57617	65315	48579	49283	39274	77509	58057	112011	69445	24566	9875	20705	26362	60131824121	5459117251	1544081	417283	1480866	480498	182482	380900	644400	170238	2199129	1961206	237923	1188762	309577	66663	634127	1348733	612473	1839532	309678	26920	22999	1184832	236021	354778	29560	281	148782	520	4034	2398
30	Montana	799065	213625	306919	208743	211246	45718	333358	395791	403274	10122	24081	24644	12955	12890	38909	26805	25066	12054	11774	12094	11393	11076	10526	9726	9929	27170	54891	69022	69210	58857	44690	36832	34026	13690	20214	33010	28234	20947	13722	10506	80214	103789	46904	44865	21164	6773	3210	22480	38514	20207	17347	18405	15901	17728	14732	15406	12340	14306	10433	11639	8695	9505	6923	6819	5313	9994	6703	11501	6803	2310	1080	1835	22988	8330501973	500469164	245172	61747	227201	79718	27681	59226	104675	22043	361155	306163	54992	89843	93675	16657	160980	205938	100225	236532	100222	9051	15350	166067	22986	54856	12649	2399	44966	185	1662	393
31	Nebraska	1578385	418471	602858	687898	356110	117658	416719	769420	808965	21698	48422	49361	25004	24886	76491	48972	45964	22310	22474	22047	21558	22505	24012	22813	21267	62552	124584	135209	124321	105281	80137	68649	67427	26967	40408	63525	54695	43747	32686	28413	158927	199560	91633	89291	43550	14234	5663	33706	61896	34988	29673	34504	30938	34449	28563	31294	24974	29398	22894	24282	18717	21058	15447	15505	12102	22778	16162	29539	16607	5828	2479	5077	26016	17986321783	1393453914	497674	105184	465731	137127	40986	105842	216670	54973	660621	602363	58258	278505	149924	42756	189436	400416	201947	548285	102092	8662	1582	423144	65914	81650	14835	266	12933	256	2757	608
32	Nevada	1201833	311407	467513	910913	150399	4831	135690	611524	590309	16158	38574	36651	17882	17027	50568	31835	29321	13674	14093	14795	14181	14827	16116	16059	16707	53727	111491	112108	101626	90698	75370	63523	54184	21731	31706	50216	35933	22735	11012	7305	118805	163765	78009	60596	28246	10970	7122	21665	33022	22480	18488	22851	19741	24132	20607	23076	18164	23566	17120	20084	15042	18963	12445	14508	11482	21680	15979	33462	21396	7724	3029	6807	31011	16125799467	1925175187	396762	70751	385486	82027	32769	90091	151391	37156	518858	466297	52561	391251	65534	1815	60258	255490	210807	479732	35060	1755	2311	222229	28058	183376	17166	273	12314	652	1217	1012
33	New_Hampshire	1109252	294538	411387	339739	225940	5576	537997	543512	565740	14526	35914	34191	16253	16087	48089	30910	27879	12959	13829	14091	14395	15824	18309	17242	16718	48142	97949	107866	97765	85884	63390	47997	43851	17632	26576	40565	31272	24086	16408	12653	90101	137568	75150	69977	28053	7691	2847	13747	27508	14651	12923	15126	13959	17758	14975	17192	14603	19375	14302	18011	14884	17385	13187	15001	11366	23626	18679	38965	25773	9447	3671	5273	36329	16121748197	1363146389	350462	60925	338505	72882	25962	69216	156138	43222	503904	411186	92718	140978	97774	1857	263295	280415	130771	303911	141959	46866	11168	62553	25038	51051	229514	3870	36874	383	1061	842
34	New_Jersey	7730188	2037787	2794316	6630217	280424	17283	802264	3735644	3994544	91920	229424	208148	99954	98654	293761	196075	191821	95380	95128	96876	101523	101232	107993	109537	107661	338868	666924	699343	622161	578006	470010	380973	355617	143028	219944	343353	270593	199254	124065	92962	640436	849064	508751	460358	216113	75064	44530	105777	181344	88549	76962	90067	80649	97321	83022	101353	82437	110120	80336	101615	79327	103229	75436	89360	70915	153301	127435	303679	265656	114982	49135	82309	40927	121011422075	22173356140	2291888	502428	2235321	558995	225098	543015	904953	364721	3075310	2794711	280599	2606838	135275	6069	327128	1813646	981065	2756133	288970	25898	4309	1607806	53526	279851	815317	3672	13275	468	11158	9638
35	New_Mexico	1515069	394958	543825	649391	455364	15090	395224	745976	769093	21669	51556	51796	26156	26479	79038	51204	48260	23360	22505	22623	21793	22057	22525	21956	20148	59354	126702	133273	121405	108172	81080	68632	61026	23956	35826	56075	42466	31373	19299	13305	124220	167808	93316	85983	43510	17685	11303	47783	59626	33439	28560	30842	27247	29196	23980	25485	21260	24108	17867	19187	14390	16737	11931	12148	9541	19078	14192	26721	17069	6402	2683	4353	24087	15709595428	1152216369	438574	105251	418049	125776	54859	127376	171773	40950	632058	542709	89349	268612	185952	5328	172166	365913	176796	525244	90385	6660	9769	380379	64411	49503	1391	1347	41071	3149	868	590
36	New_York	17990455	4528888	6634434	14116527	1047718	82256	2743954	8615178	9375277	216424	537801	493182	247177	234707	695845	466561	459110	222299	226305	224672	232218	251111	283328	288712	274002	818432	1554061	1594999	1419374	1301120	1055050	889538	810990	334015	497529	758430	599296	464762	297864	241541	1788656	1938056	1126431	983769	485043	184832	127647	402744	629440	271735	222366	256098	237341	280874	224870	268006	212401	275007	195281	236067	182177	230686	161849	185458	149010	310607	244328	553986	454648	199529	85609	164317	32965	246510040359	46208803533	5224832	1409602	5062452	1571982	627344	1312387	1895246	693911	7226891	6639322	587569	5565856	431639	26780	1202616	3466277	3173045	6329446	703295	121037	73113	3033958	159380	567513	2629898	13265	132404	1926	67315	33663
37	North_Carolina	6628637	1824465	2517098	2510999	824571	116801	3176266	3211425	3417212	78374	197512	180450	88620	86469	264079	179187	176604	84781	89331	89617	93469	103801	119748	117479	115061	310561	575825	576404	528571	479706	384150	320949	295333	116358	174141	277867	208252	153277	93804	68857	593293	845469	487931	381212	144152	43401	21640	185418	243607	135514	114982	134392	118705	134727	109547	123924	98568	121266	89196	99463	74571	87223	63362	67052	51517	99481	74252	138616	85545	29966	12435	23769	26647	77273018287	6401168016	2071942	445156	2003028	514070	203062	481854	896853	242696	2818193	2517026	301167	1041475	358701	48229	1369788	1711882	805144	1843476	771663	142070	60984	468698	213953	1057166	567025	2100	197181	2046	4740	4117
38	North_Dakota	638800	168023	241802	202485	138005	60288	238022	318191	320609	8534	19400	20027	10275	10272	31369	20050	19486	9376	9547	8386	8959	9348	10239	10386	9769	26827	50392	54618	50687	40225	30642	25702	26089	11066	16140	25261	22332	19062	13182	11152	63790	78632	36784	36643	18419	5452	2082	17526	29125	14928	13621	14491	13313	14597	11574	12392	9987	11459	8284	9243	6719	7569	5532	5751	4418	7762	5606	9363	4718	1721	687	1416	23213	6576051994	342875069	201787	40015	182738	59064	15862	44046	88258	19857	276340	240878	35462	82517	56879	20904	116040	157950	82928	218257	45932	7021	5130	95510	33743	63226	37773	4066	2978	36	2221	1325
39	Ohio	10847115	2915439	4089312	6655821	1383216	198914	2609164	5225807	5621308	138789	325972	319142	160560	155040	481580	318663	300481	146710	150995	150640	155224	160787	174476	166138	157931	459223	868055	937117	855190	764230	599721	515676	482446	196298	299957	470360	364447	265812	168356	137099	1014571	1300447	719950	634879	286782	90676	42007	270387	386874	194921	174110	194443	184398	202747	169644	190835	158112	189443	146648	163075	131364	149919	113602	116194	93992	178218	135292	262418	162117	54122	22267	44170	28706	132509042519	11978632991	3201111	888201	3108520	980792	416268	828985	1292648	377538	4371945	4087546	284399	2765388	559469	70469	976619	2758131	1329415	3603499	644790	63096	60560	2787946	153731	684664	304718	15654	100978	630	29433	9792
40	Oklahoma	3145585	863810	1207235	1354645	775438	82929	932573	1530114	1615471	38979	92826	92025	47644	47582	148618	96267	91497	45403	45845	44409	45750	45905	50110	47589	44405	125307	250659	264004	238909	213399	177462	149308	140623	54411	83055	131862	104004	85375	58405	43948	306695	403021	203509	181402	77261	24722	10625	97831	152521	73350	62637	68806	60057	65486	53237	57764	46282	53868	39555	42977	32054	36752	26441	26864	21822	41548	29931	56871	32990	12075	4725	10791	23577	33885494755	2982273384	948851	258384	900425	306810	116529	264423	397056	85802	1406499	1206135	200364	607844	351698	32010	414947	821299	384836	1223121	163916	13158	6304	776236	120549	247777	1010	53	56759	433	2472	846
41	Oregon	2842321	757986	1105362	1419919	583080	68729	770593	1396905	1445416	35668	83630	82541	41553	42307	126636	83499	79127	37921	37675	37050	36800	37057	39747	39914	37007	108820	211886	243485	251391	224952	167719	129382	115661	46137	73625	123543	102356	78479	49631	37122	277631	393755	173917	156211	68133	23429	12286	60824	108006	60510	51915	58740	53125	59918	50910	54158	45587	53398	41743	44734	34862	39113	28087	29497	23409	44627	32691	61164	37088	13758	5866	11632	27250	34533364417	3117322230	877780	227582	835626	269736	107516	212820	353050	84600	1193567	1103313	90254	595766	241793	24679	331329	695957	407356	963096	189423	15047	26001	272150	17056	492454	125648	347	186950	633	6249	1826
